代码,名称,战法评分,当前连跌天数,近1周2连跌,近1周3连跌,近1周4连跌,全量2跌胜率%,全量2跌均涨,全量3跌胜率%,全量3跌均涨,全量4跌胜率%,全量4跌均涨,全量5跌胜率%,全量5跌均涨,近3年2跌胜率%,近3年2跌均涨,近3年3跌胜率%,近3年3跌均涨,近3年4跌胜率%,近3年4跌均涨,近3年5跌胜率%,近3年5跌均涨
513050,中概互联网ETF,无信号,1,0,0,0,54.71,0.0,47.54,-0.02,53.33,-0.08,48.15,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164705,恒生LOF,无信号,1,0,0,0,50.0,0.14,56.93,0.24,55.56,0.38,47.62,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501021,香港中小LOF,无信号,0,0,0,0,54.62,-0.07,50.0,-0.05,46.94,-0.16,40.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159954,H股ETF,无信号,1,0,0,0,47.75,-0.18,51.33,0.07,44.44,0.15,42.31,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159920,恒生ETF,无信号,1,0,0,0,49.21,-0.09,51.11,0.08,48.1,0.07,60.53,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513390,纳指100ETF,⭐⭐,2,1,0,0,50.0,0.14,58.62,0.09,41.67,-0.42,57.14,0.18,50.0,0.14,58.62,0.09,41.67,-0.42,57.14,0.18
159501,纳斯达克指数ETF,⭐⭐,2,1,0,1,50.77,0.19,53.57,0.24,33.33,-0.28,62.5,0.33,50.77,0.19,53.57,0.24,33.33,-0.28,62.5,0.33
513090,香港证券ETF,⭐⭐,2,1,0,0,44.57,-0.1,51.04,0.15,50.0,0.1,68.18,0.87,50.0,0.47,50.0,-0.71,50.0,1.6,100.0,5.93
159509,纳指科技ETF,⭐⭐,2,1,0,0,50.82,0.38,50.0,0.03,60.0,0.33,50.0,0.14,50.82,0.38,50.0,0.03,60.0,0.33,50.0,0.14
501225,全球芯片LOF T+1,⭐⭐,0,1,0,0,51.85,-0.03,48.65,0.03,38.89,-0.29,54.55,0.28,51.85,-0.03,48.65,0.03,38.89,-0.29,54.55,0.28
513100,纳指ETF,⭐⭐,2,1,0,0,54.61,0.2,52.43,0.13,44.44,0.04,52.38,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161130,纳斯达克100LOF,⭐⭐,2,1,0,1,51.63,0.05,55.1,0.13,53.85,0.47,41.18,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162415,美国消费LOF,⭐⭐,2,1,0,0,52.9,0.04,47.41,-0.08,50.0,0.1,40.74,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513500,标普500ETF,⭐⭐,2,1,0,0,53.5,0.03,53.98,0.11,36.73,-0.28,60.71,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159632,纳斯达克ETF,⭐,0,0,1,1,51.85,0.1,39.47,-0.03,59.09,0.19,50.0,0.29,44.64,-0.1,38.1,-0.08,72.73,0.51,50.0,0.09
513140,港股金融ETF,⭐,0,0,1,1,46.43,-0.02,54.76,-0.11,63.16,0.52,60.0,0.81,54.76,0.16,38.1,-0.0,66.67,0.39,60.0,0.71
